,MI_score,XGB_importance,MI_rank,XGB_rank,avg_rank,selected
V303,0.015312577170152997,0.005988133,190.0,26.0,108.0,True
FE_D8_normalized,0.016482750302272642,0.004942047,186.0,33.0,109.5,True
FE_card1_amt_mean,0.028417587556035073,0.0032197535,163.0,59.0,111.0,True
TransactionAmt,0.027929109070739422,0.003270284,165.0,57.0,111.0,True
M8,0.05947136301476608,0.0025194255,141.0,84.0,112.5,True
V36,0.0929392018887063,0.0016821885,76.0,149.0,112.5,True
id_37,0.12676586789892041,0.0011225363,17.0,213.0,115.0,True
FE_addr1_freq,0.01604501199348718,0.0037136876,188.0,44.0,116.0,True
V3,0.11275187927280728,0.0011958291,30.0,202.0,116.0,True
V78,0.07870551430963935,0.0019575977,111.0,121.0,116.0,True
FE_email_match,0.016816889816819725,0.0035761516,185.0,48.0,116.5,True
FE_R_emaildomain_freq,0.014060353419782734,0.0046305656,199.0,36.0,117.5,True
V317,0.009833535780616742,0.042904418,233.0,3.0,118.0,True
FE_P_emaildomain_freq,0.04439591254502351,0.0024980537,151.0,86.0,118.5,True
V13,0.04569434129260275,0.0024621545,149.0,88.0,118.5,True
V82,0.09301018071186562,0.0015347147,74.0,163.0,118.5,True
FE_card1_amt_std,0.02851766924689403,0.0026971248,162.0,76.0,119.0,True
FE_D2_normalized,0.022490155810153345,0.0030209739,174.0,65.0,119.5,True
V66,0.11251176921438588,0.0011593474,32.0,209.0,120.5,True
D3,0.009255048862820692,0.03170429,237.0,4.0,120.5,True
V248,0.1357148113621599,0.00093891466,8.0,238.0,123.0,True
M9,0.07333787102237843,0.001964761,126.0,120.0,123.0,True
V315,0.009285427221608078,0.015020277,236.0,10.0,123.0,True
V9,0.08088328569380276,0.0017183893,105.0,146.0,125.5,True
V2,0.08512278807303442,0.0015848551,96.0,157.0,126.5,True
FE_card1a1_amt_mean,0.035654942654308464,0.0021976416,156.0,97.0,126.5,True
V50,0.010524792286984441,0.0054823747,226.0,27.0,126.5,True
V61,0.09552650788574324,0.0012975208,65.0,188.0,126.5,True
V25,0.10041271196987045,0.0011998134,56.0,201.0,128.5,True
V109,0.1414669263840671,0.0008108016,2.0,255.0,128.5,True
V24,0.07748000468038319,0.0017233761,116.0,142.0,129.0,True
FE_D13_normalized,0.11870649426063207,0.00093492115,22.0,239.0,130.5,True
C5,0.008022880424862988,0.014370004,250.0,11.0,130.5,True
FE_P_email_high_risk,0.06946929809740654,0.001857443,133.0,128.0,130.5,True
V124,0.08415491659783958,0.0015271485,98.0,164.0,131.0,True
C13,0.008582768533691887,0.0075307405,245.0,18.0,131.5,True
V86,0.11351525326270939,0.0009751115,29.0,234.0,131.5,True
V75,0.04380840723618351,0.0019868887,152.0,115.0,133.5,True
card2,0.019081492850038906,0.0023686488,178.0,89.0,133.5,True
FE_card1a1_amt_std,0.035407346853866706,0.002043735,157.0,110.0,133.5,True
D8,0.02296032851249641,0.0022088983,173.0,95.0,134.0,True
V76,0.045575495692466994,0.0019681517,150.0,119.0,134.5,True
V7,0.10718973101086393,0.0010465973,43.0,228.0,135.5,True
P_emaildomain,0.02481921347850058,0.0021485542,170.0,101.0,135.5,True
D8_isnan,0.09456244279481019,0.0011907888,67.0,204.0,135.5,True
C2,0.008341490782788119,0.00630492,247.0,25.0,136.0,True
V133,0.008760760418732083,0.004965015,241.0,32.0,136.5,True
id_20,0.07432245156934902,0.0016632293,123.0,150.0,136.5,True
FE_D6_normalized,0.07777810528729256,0.0015526199,115.0,159.0,137.0,True
card1,0.028287376337960746,0.00204112,164.0,112.0,138.0,True
FE_card_full_freq,0.016396686414054784,0.0023575386,187.0,91.0,139.0,True
V312,0.0071062953072755786,0.0069621713,256.0,22.0,139.0,True
FE_card1_amt_count,0.01703215905237898,0.0022001923,184.0,96.0,140.0,True
D2,0.011157714994497248,0.0031800612,219.0,61.0,140.0,True
V123,0.12743237629999937,0.00076988473,14.0,267.0,140.5,True
V308,0.006731425695986726,0.007310654,262.0,19.0,140.5,True
D14_isnan,0.0895353714855448,0.0012300394,85.0,197.0,141.0,True
V102,0.005386442537288483,0.021144908,278.0,6.0,142.0,True
V5,0.08321313650085327,0.0013108011,101.0,184.0,142.5,True
V103,0.005685633876327811,0.008259691,272.0,16.0,144.0,True
id_13,0.10682141747779417,0.00088373653,45.0,244.0,144.5,True
V77,0.06784411119622624,0.0016394727,136.0,154.0,145.0,True
id_14,0.06619012881860042,0.0016577124,138.0,152.0,145.0,True
V115,0.10098154527810921,0.00096882344,55.0,235.0,145.0,True
V38,0.09299272377003565,0.0011125188,75.0,216.0,145.5,True
V310,0.010382775289643709,0.0030720376,229.0,64.0,146.5,True
V243,0.11482652066434862,0.00074790703,28.0,269.0,148.5,True
DeviceType,0.006920654837444973,0.0043511004,260.0,38.0,149.0,True
FE_D11_normalized,0.014201390924489354,0.0021139982,196.0,102.0,149.0,True
id_30,0.07263002417915865,0.001380668,127.0,174.0,150.5,True
FE_D4_normalized,0.022237819061827757,0.001862433,175.0,127.0,151.0,True
V95,0.00559670605165663,0.0052496153,274.0,29.0,151.5,True
V250,0.13996532283077256,0.000552693,5.0,299.0,152.0,True
V10,0.017593654292834993,0.0019275924,182.0,123.0,152.5,True
V128,0.0074411745593743195,0.0034020313,253.0,52.0,152.5,True
FE_card2_freq,0.021427781366675447,0.0018078869,177.0,132.0,154.5,True
FE_is_night,0.01759664122393545,0.001844553,181.0,129.0,155.0,True
FE_D12_normalized,0.07708815785667744,0.0012595867,118.0,194.0,156.0,True
V37,0.08187312521145396,0.0011602893,104.0,208.0,156.0,True
V282,0.050276929295087536,0.0015201044,146.0,166.0,156.0,True
V260,0.10602962673493743,0.0007742859,48.0,264.0,156.0,True
FE_card1a1_amt_count,0.01329906007810533,0.0020469152,204.0,109.0,156.5,True
V73,0.009712484926680531,0.0026383125,234.0,79.0,156.5,True
card5,0.04054447151900509,0.0015398056,153.0,162.0,157.5,True
FE_uid_ext_freq,0.008717950984904688,0.0027557805,242.0,74.0,158.0,True
D15_isnan,0.008052829463322642,0.0029693064,249.0,68.0,158.5,True
id_11,0.10649123293719454,0.0007371617,46.0,271.0,158.5,True
id_33,0.08198838563862731,0.0011084672,103.0,217.0,160.0,True
V6,0.08505708792915856,0.001052014,97.0,227.0,162.0,True
V51,0.012968595172525132,0.00197404,206.0,118.0,162.0,True
DeviceInfo,0.07417376686310173,0.0012084031,124.0,200.0,162.0,True
D1,0.005615821133585497,0.00337748,273.0,53.0,163.0,True
FE_D5_normalized,0.03183233894129134,0.0014843504,160.0,167.0,163.5,True
V26,0.11217094894128232,0.00057810976,33.0,295.0,164.0,True
V108,0.09546738290783552,0.0007801159,66.0,262.0,164.0,True
V170,0.1115715008211462,0.00058237603,34.0,294.0,164.0,True
C9,0.007092978866560129,0.0027836617,257.0,72.0,164.5,True
V188,0.09623432873035276,0.00077321264,64.0,266.0,165.0,True
V59,0.008825839581551476,0.0023681636,240.0,90.0,165.0,True
FE_D3_normalized,0.019018270761696154,0.0016582771,179.0,151.0,165.0,True
V63,0.008702498392554325,0.0024759148,244.0,87.0,165.5,True
id_02,0.05661734643275729,0.0012910153,143.0,190.0,166.5,True
